         0	         2	         4	2147483647	2147483647	2147483647	
2147483647	         0	         1	         7	2147483647	2147483647	
2147483647	2147483647	         0	2147483647	         3	2147483647	
2147483647	2147483647	2147483647	         0	2147483647	         1	
2147483647	2147483647	2147483647	         2	         0	         5	
2147483647	2147483647	2147483647	2147483647	2147483647	         0	

         0	         2	         3	         8	         6	         9	
2147483647	         0	         1	         6	         4	         7	
2147483647	2147483647	         0	         5	         3	         6	
2147483647	2147483647	2147483647	         0	2147483647	         1	
2147483647	2147483647	2147483647	         2	         0	         3	
2147483647	2147483647	2147483647	2147483647	2147483647	         0	

